Isaiah Johnson,31,11,13.4,1.5,3.0,.495,1.5,3.0,.495,0.0,0.0,,0.8,1.4,.595,1.5,1.3,2.8,0.4,0.3,0.9,0.6,1.7,3.8,0
Mark Noble,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0
Kwan Cheatham,21,2,8.8,0.6,2.2,.283,0.1,0.7,.200,0.5,1.5,.323,0.6,0.8,.813,0.2,1.1,1.4,0.2,0.1,0.2,0.8,0.8,2.3,0
Carmelo Betancourt,32,17,16.9,0.7,2.0,.344,0.5,1.2,.405,0.2,0.8,.259,0.5,0.8,.625,0.2,0.9,1.1,2.3,0.8,0.0,1.5,1.7,2.1,0
Zeke Marshall,33,33,28.2,4.6,7.1,.651,4.6,7.0,.651,0.1,0.1,.667,3.6,5.7,.642,2.5,4.5,7.0,0.8,0.6,3.7,1.4,2.7,13.0,0
Demetrius Treadwell,30,28,28.9,4.9,9.5,.510,4.9,9.5,.510,0.0,0.0,,1.8,3.5,.500,2.9,5.0,7.9,1.6,0.9,0.4,2.2,1.8,11.5,0
Alex Abreu,29,28,30.2,3.2,7.8,.407,1.4,3.4,.424,1.7,4.4,.394,2.2,2.7,.810,0.7,1.8,2.5,6.0,1.2,0.1,2.9,1.7,10.3,0
Nick Harney,30,21,20.4,3.6,7.5,.473,3.2,5.8,.543,0.4,1.7,.235,2.0,3.0,.674,1.0,2.8,3.8,1.2,0.8,0.3,1.9,2.6,9.5,0
Brian Walsh,32,29,23.7,2.5,6.3,.395,1.2,2.8,.438,1.3,3.5,.360,1.0,1.3,.767,0.9,2.6,3.5,1.6,1.2,0.1,0.7,1.6,7.2,0
Jake Kretzer,33,5,21.0,1.9,5.1,.383,0.5,1.0,.563,1.4,4.1,.341,0.5,0.5,.833,1.1,2.1,3.2,1.0,0.9,0.1,0.9,1.5,5.7,0
Chauncey Gilliam,29,13,15.7,2.0,5.1,.399,1.1,2.1,.516,0.9,3.0,.314,0.6,0.8,.739,0.6,1.1,1.7,0.7,0.6,0.0,0.6,1.5,5.6,0
Reggie McAdams,32,1,12.3,1.5,3.8,.390,0.3,0.7,.478,1.2,3.1,.370,0.4,0.8,.583,0.7,0.6,1.3,0.4,0.4,0.2,0.3,0.9,4.6,0
